budget,sanitize_ms,recovered,recovery_rate
0,0.05,50/50,100.0%
100,0.51,50/50,100.0%
200,1.01,50/50,100.0%
300,1.05,50/50,100.0%
400,1.35,50/50,100.0%
500,1.77,50/50,100.0%
600,2.77,50/50,100.0%
700,5.98,50/50,100.0%
800,4.55,50/50,100.0%
900,4.25,50/50,100.0%
1000,4.59,50/50,100.0%
1100,5.04,50/50,100.0%
1200,5.94,50/50,100.0%
1300,10.42,50/50,100.0%
1400,7.08,50/50,100.0%
1500,10.07,50/50,100.0%
1600,7.91,50/50,100.0%
1700,7.44,50/50,100.0%
1800,8.86,50/50,100.0%
1900,9.15,50/50,100.0%
